QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20200723_000123	有什麼事情嗎？	무슨 일이시죠?				고원병사 모티머
QUEST_LV_0500_20200723_000124	有關女人的話，你可以問看看高原士兵莫提爾。{nl}發現那個女人的就是莫提爾。	여인에 대해서라면 고원병사 모티머에게 물어보시면 됩니다.{nl}그 여인을 발견했던 게 바로 모티머였습니다.				스토가스 분대장 아데스
QUEST_LV_0500_20200723_000125	你是在問那個女人阿。	여인에 대해서 여쭤보시는 거군요.				고원병사 모티머
QUEST_LV_0500_20200723_000126	啊！但是現在有點困難。{nl}因為有需要盡快處理的事情。{nl}在我解決事情的期間，你先去前往凱馬空地的路口看看。{nl}第一次發現那女人的地方就是在那附近。	아, 하지만 지금은 곤란합니다.{nl}서둘러 처리할 일이 있어서요.{nl}제가 일을 마무리하는 동안 게히마 공터로 가는 길목을 살펴보시는 게 좋을 겁니다.{nl}그 여인을 처음 발견했던 게 그 근처였습니다.				고원병사 모티머
QUEST_LV_0500_20200723_000127	那麼，我會盡快把事情處理好，請你先去調查凱馬空地的路口。	그럼, 서둘러 일을 마무리할 테니 게히마 공터의 길목을 먼저 조사해 보십시오.				고원병사 모티머
QUEST_LV_0500_20200723_000128	我會盡快把事情處理好，請你先去調查凱馬空地的路口。	저는 서둘러 일을 마무리할 테니 게히마 공터의 길목을 먼저 조사해 보십시오.				고원병사 모티머
QUEST_LV_0500_20200723_000129	我正找啟示者你呢。	마침 계시자님을 찾던 중이었습니다.				고원병사 모티머
QUEST_LV_0500_20200723_000130	那腳鐐是...{nl}是那個女人腳腕上的腳鐐吧。	그 족쇄는..{nl}그 여인의 발목에 채워져 있던 족쇄군요.				고원병사 모티머
QUEST_LV_0500_20200723_000131	那個女人好像是根本看不到我們，也聽不見我們的聲音，只是凝視著空中尋求救助。{nl}本來我想盡一切辦法地去幫助她，但卻無法做到。{nl}然後女人自言自語地說都沒有人要幫助自己，朝著阿爾莫第2勞役地的方向走去。	그 여인은 마치 저희가 전혀 보이지도 들리지도 않는 것처럼 허공을 응시하며 도와달라고만 했습니다.{nl}제가 어떻게든 도우려고 했지만, 그럴 수도 없을 지경이었죠.{nl}여인은 아무도 자신을 돕지 않는다며 중얼거리면서 알몰 제2 노역장 방향으로 갔습니다.				고원병사 모티머
QUEST_LV_0500_20200723_000132	在這樣的地形下，看起來很難生存下去。{nl}這麼說來，凝視著空中的眼睛是有點奇怪。{nl}好像是...沒有黑眼球。{nl}因為走路看起來很吃力，我能做到的只有幫助她斷開腳鐐而已。	이런 지형에서 살아남기도 힘들어 보이는 상태였죠.{nl}그러고 보니 허공을 응시하고 있던 눈동자가 이상했습니다.{nl}검은자가.. 없었던 것 같습니다.{nl}걷는 것이 힘들어 보여 족쇄를 끊어 주는 것만이 제가 할 수 있는 전부였습니다.				고원병사 모티머
QUEST_LV_0500_20200723_000133	你來了啊。{nl}在野營地發現的有關目擊到可疑女人的消息，調查結束了嗎？	오셨군요.{nl}야영지에서 발견된 여인의 목격담에 대해 조사를 마치셨습니까?				크루세이더 파견원
QUEST_LV_0500_20200723_000134	原來是這樣啊。{nl}很有可能是到了這裡之後掉落到絕壁的下方。{nl}當然不可能安然無恙吧。	그렇게 된 것이군요.{nl}이곳까지 와서 절벽 아래로 떨어졌을 가능성이 높습니다.{nl}당연히 무사하진 못 했겠군요.				크루세이더 파견원
QUEST_LV_0500_20200723_000135	掉落的物品當中有沾到克魯比那溶液，也就是說那女人就是格萊伊希歐啊。	떨어져 있던 물품에 크루비나 용액이 묻어 있었다는 말은.. 그 여인이 곧, 글레이시어겠군요.				크루세이더 파견원
QUEST_LV_0500_20200723_000136	以啟示者你調查的內容和我們之前所調查的內容為基礎推測的話，格萊伊希歐應該是被更強大的力量給陷害了。{nl}看來一定有破壞她精神，使她魔族化的幕後兇手存在。	계시자님께서 조사해주신 내용과 저희가 그동안 조사한 내용을 토대로 추측해봤을 때, 글레이시어는 더 큰 존재에게 해를 입었을 것으로 생각됩니다.{nl}아무래도 그녀의 정신을 해치고 마족화시킨 배후가 있겠군요.				크루세이더 파견원
QUEST_LV_0500_20200723_000137	啟示者。{nl}現在是該下去絕壁的時候了。{nl}如果在白魔女森林中發現到任何東西，請務必要告訴我。	계시자님.{nl}이제는 저 절벽 아래로 내려가봐야 할 때인 것 같습니다.{nl}하얀 마녀의 숲에서 무엇이든지 발견하신다면 저에게 알려주시길 부탁드립니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000138	格萊伊希歐掉落絕壁後，至今應該都還在那裡。{nl}如果在白魔女森林裡發現到任何東西，請務必要告訴我。	글레이시어는 절벽 아래로 떨어진 이후 지금에 이르렀을 겁니다.{nl}하얀 마녀의 숲에서 무엇이든지 발견하신다면, 저에게 알려주시길 부탁드립니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000139	啟示者，現在…	계시자님 지금은..				크루세이더 파견원
QUEST_LV_0500_20200723_000140	請停下來。	멈춰주십시오.				크루세이더 마스터
QUEST_LV_0500_20200723_000141	啟示者。{nl}我有話要跟你說。	계시자님.{nl}드릴 말씀이 있습니다.				크루세이더 마스터
QUEST_LV_0500_20200723_000142	負責這裡指揮的就是我。{nl}請不要做出沒經過許可的調查活動。{nl}就算是啟示者，如果違反了王國的法律，也會處於不利的地位。	이곳의 지휘를 담당하고 있는 것은 바로 저입니다.{nl}허가되지 않은 조사 활동은 삼가 주십시오.{nl}아무리 계시자님이라고 하셔도, 왕국의 법을 어기신다면 불리한 입장에 처하시게 될 겁니다.				크루세이더 마스터
QUEST_LV_0500_20200723_000143	關於啟示者你全力協助調查的事情我真的非常的感謝。{nl}但是無論敵人是誰，只要是對神樹構成威脅的存在，都應該要嚴格懲辦。{nl}這就是身為東征十字軍的義務。	조사에 협조해주신 계시자님의 헌신에 대해서는 분명한 감사를 표하겠습니다.{nl}다만, 적이 누구든지 신수에 위협이 될 존재라면 마땅히 처단해야 합니다.{nl}크루세이더가 가진 의무는 그것뿐입니다.				크루세이더 마스터
QUEST_LV_0500_20200723_000144	以後請不要擅自進行調查。	앞으로는 독단적인 조사는 지양해주십시오.				크루세이더 마스터
QUEST_LV_0500_20200723_000145	我正對路巴斯克絕壁發生的寒流現象進行調查。{nl}但是因為人力不足而正面臨困難。{nl}如果可以的話，你願意幫助我嗎？	누바스크 절벽에서 발생하고 있는 이상 한파 현상에 대해 조사하고 있습니다.{nl}하지만, 인력이 부족한 탓에 어려움을 겪고 있습니다.{nl}괜찮으시다면 도와주실 수 있으십니까?				크루세이더 파견원
QUEST_LV_0500_20200723_000146	謝謝你。{nl}請前往路巴斯克絕壁吧。	감사합니다.{nl}누바스크 절벽으로 가시죠.				크루세이더 파견원
QUEST_LV_0500_20200723_000147	異常寒流是在路巴斯克絕壁發生的。	이상 한파는 누바스크 절벽에서 발생하고 있습니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000148	謝謝你協助調查。{nl}如果收集到充分的證據，我打算帶回王國後準備對策。{nl}常常因為人手不足而煩惱啊…	조사를 도와주셔서 감사합니다.{nl}충분한 증거가 모이면 왕국에 가져가 대책을 마련할 생각입니다.{nl}항상 인력이 부족해서 고민이군요..				크루세이더 파견원
QUEST_LV_0500_20200723_000149	我無法幫忙。	도울 수 없다고 한다.				
QUEST_LV_0500_20200723_000150	白魔女和東征十字軍(1)	하얀 마녀와 크루세이더(1)				
QUEST_LV_0500_20200723_000151	我去去就回來。	다녀오겠다고 한다.				
QUEST_LV_0500_20200723_000152	我現在因為其他事情有點忙。	지금은 다른 일 때문에 바쁘다고 한다.				
QUEST_LV_0500_20200723_000153	白魔女和東征十字軍(2)	하얀 마녀와 크루세이더(2)				
QUEST_LV_0500_20200723_000154	我會盡全力的。	이번 일에 최선을 다하겠다고 한다.				
QUEST_LV_0500_20200723_000155	我想要放棄了。	이쯤에서 그만두고 싶다고 한다.				
QUEST_LV_0500_20200723_000156	白魔女和東征十字軍(3)	하얀 마녀와 크루세이더(3)				
QUEST_LV_0500_20200723_000157	我不想再管了。	더 관여하고 싶지 않다고 말한다.				
QUEST_LV_0500_20200723_000158	白魔女和東征十字軍(4)	하얀 마녀와 크루세이더(4)				
QUEST_LV_0500_20200723_000159	我沒興趣。	관심이 없다고 한다.				
QUEST_LV_0500_20200723_000160	白魔女和東征十字軍(5)	하얀 마녀와 크루세이더(5)				
QUEST_LV_0500_20200723_000161	報告調查結果。	조사 결과를 전한다.				
QUEST_LV_0500_20200723_000162	調查還沒有結束。	아직 조사가 끝나지 않았다고 한다.				
QUEST_LV_0500_20200723_000163	白魔女和東征十字軍(6)	하얀 마녀와 크루세이더(6)				
QUEST_LV_0500_20200723_000164	我現在還有其他事情。	지금은 다른 일이 있다고 한다.				
QUEST_LV_0500_20200723_000165	白魔女和東征十字軍(7)	하얀 마녀와 크루세이더(7)				
QUEST_LV_0500_20200723_000166	給他看信件。	편지를 보여준다.				
QUEST_LV_0500_20200723_000167	裝傻。	시치미를 뗀다.				
QUEST_LV_0500_20200723_000168	史圖卡斯高原的異常寒流	스토가스 고원의 이상 한파				
QUEST_LV_0500_20200723_000169	協助調查。	조사에 도움을 준다.				
QUEST_LV_0500_20200723_000170	不協助調查。	조사를 돕지 않는다.				
QUEST_LV_0500_20200723_000171	與東征十字軍大師對話	크루세이더 마스터와 대화하기				
QUEST_LV_0500_20200723_000172	在史圖卡斯高原地帶，負責調查任務的東征十字軍大師正尋求啟示者們的幫助。{nl}請前往尋找史圖卡斯高原的東征十字軍大師約皮亞艾列諾拉，問看看有什麼事情。	스토가스 고원 지대에서 조사 임무를 맡던 크루세이더 마스터가 계시자들에게 도움을 요청하고 있습니다.{nl}스토가스 고원의 크루세이더 마스터 조피아 엘레노라를 찾아가 이야기를 들어보세요.				
QUEST_LV_0500_20200723_000173	準備就緒後，回去找東征十字軍大師	준비를 마치고 크루세이더 마스터에게 돌아가기				
QUEST_LV_0500_20200723_000174	為了消滅絕壁下方的格萊伊希歐，約皮亞向啟示者們請求了幫助。{nl}做好前往絕壁下方準備的話，就回去找約皮亞談談吧。	조피아는 절벽 아래에 있는 글레이시어를 처치하기 위해 계시자들에게 도움을 요청했다고 합니다.{nl}절벽 아래로 내려 갈 준비를 마쳤다면 조피아에게 돌아가 이야기하세요.				
QUEST_LV_0500_20200723_000175	白魔女和東征十字軍	하얀 마녀와 크루세이더				
QUEST_LV_0500_20200723_000176	與東征十字軍派遣員對話。	크루세이더 파견원과 대화하기.				
QUEST_LV_0500_20200723_000177	東征十字軍派遣員好像有話要對你說。{nl}請與東征十字軍派遣員交談吧。	크루세이더 파견원이 당신에게 할 말이 있는 듯 합니다.{nl}크루세이더 파견원과 이야기를 나눠 보세요.				
QUEST_LV_0500_20200723_000178	採集植物。	식물을 채집하기.				
QUEST_LV_0500_20200723_000179	東征十字軍派遣員交給我們調查在白魔女森林探索時所發現的東西。{nl}請去找瘟疫醫師大師委託分析結薄冰的紅色液體。	크루세이더 파견원은 하얀 마녀의 숲을 탐사 중 발견한 물건에 대해 조사를 맡겼습니다.{nl}플레이그 닥터 마스터에게 찾아가 살얼음 띈 붉은 액체의 분석을 의뢰하세요.				
QUEST_LV_0500_20200723_000180	回去找瘟疫醫師大師。	플레이그 닥터 마스터에게 돌아가기.				
QUEST_LV_0500_20200723_000181	找到瘟疫醫師大師說的植物了。{nl}請回去將植物交給瘟疫醫師大師，已順利完成分析溶液的委託。	플레이그 닥터 마스터가 말한 식물을 구했습니다.{nl}플레이그 닥터 마스터에게 돌아가 의뢰를 용액 분석을 마무리할 수 있도록 식물을 전해주세요.				
QUEST_LV_0500_20200723_000182	向瘟疫醫師大師索取調查結果	플레이그 닥터 마스터에게 조사 결과를 받기				
QUEST_LV_0500_20200723_000183	與瘟疫醫師再次交談。	플레이그 닥터와 다시 이야기 하기.				
QUEST_LV_0500_20200723_000184	得知溶液的真面目為克魯比那溶液後，瘟疫醫師大師對此表示了擔憂。{nl}他似乎有事情想要交代，請與瘟疫醫師大師對話看看吧。	플레이그 닥터 마스터는 용액의 정체가 크루비나 용액이라는 사실을 알고 우려를 표했습니다.{nl}그가 당부할 것이 있는 것 같으니 다시 플레이그 닥터 마스터와 대화하세요.				
QUEST_LV_0500_20200723_000185	回去找東征十字軍派遣員。	크루세이더 파견원에게 돌아가기.				
QUEST_LV_0500_20200723_000186	完成分析溶液的委託了。{nl}請回去將克魯比那溶液交還給東征十字軍派遣員。	용액의 분석 의뢰를 완료했습니다.{nl}크루세이더 파견원에게 돌아가 크루비나 용액을 돌려주세요.				
QUEST_LV_0500_20200723_000187	東征十字軍派遣員說，克魯比那溶液之後的相關調查就交給他們了。{nl}請與派遣員對話，看有沒有其他需要幫忙的事情。	크루세이더 파견원은 크루비나 용액에 대한 이후 조사는 자신들이 맡겠다고 했습니다.{nl}파견원과 다시 이야기해서 도울 일이 있는지 물어보세요.				
QUEST_LV_0500_20200723_000188	去找史圖卡斯分隊長阿德斯。	스토가스 분대장 아데스 찾아가기.				
QUEST_LV_0500_20200723_000189	東征十字軍派遣員說，有人在一個地方看到可能是格萊伊希歐的人。{nl}請去找史圖卡斯高原野營地地區的史圖卡斯分隊長阿德斯，聽一聽相關的故事吧。	크루세이더 파견원은 글레이시어로 추정되는 인물이 목격된 장소가 있다고 합니다.{nl}스토가스 고원의 야영지 지역에 있는 스토가스 분대장 아데스를 찾아가 관련된 이야기를 들어보세요.				
QUEST_LV_0500_20200723_000190	去找高原士兵莫提爾。	고원병사 모티머 찾아가기.				
